abstract,id,title,journal,year,author
"RAB, ADP-ribosylation factors (ARFs) and ARF-like (ARL) proteins belong to the Ras superfamily of small GTP-binding proteins and are essential for various membrane-associated intracellular trafficking processes. None of the approximately 50 known members of this family are linked to human disease. Using a bioinformatic screen for ciliary genes in combination with mutational analyses, we identified ARL6 as the gene underlying Bardet-Biedl syndrome type 3, a multisystemic disorder characterized by obesity, blindness, polydactyly, renal abnormalities and cognitive impairment. We uncovered four different homozygous substitutions in ARL6 in four unrelated families affected with Bardet-Biedl syndrome, two of which disrupt a threonine residue important for GTP binding and function of several related small GTP-binding proteins. Analysis of the Caenorhabditis elegans ARL6 homolog indicates that it is specifically expressed in ciliated cells, and that, in addition to the postulated cytoplasmic functions of ARL proteins, it undergoes intraflagellar transport. These findings implicate a small GTP-binding protein in ciliary transport and the pathogenesis of a pleiotropic disorder.",WBPaper00024444,Mutations in a member of the Ras superfamily of small GTP-binding proteins causes Bardet-Biedl syndrome.,Nat Genet,2004,Fan Y|Esmail MA|Ansley SJ|Blacque OE|Boroevich K|Ross AJ|Moore SJ|Badano JL|May-Simera H|Compton DS|Green JS|Lewis RA|Van Haelst MM|Parfrey PS|Baillie DL|Beales PL|Katsanis N|Davidson WS|Leroux MR
"Studying the development and mechanisms of sensory perception is challenging in organisms with complex neuronal networks. The worm Caenorhabditis elegans possesses a simple neuronal network of 302 neurons that includes 60 ciliated sensory neurons (CSNs) for detecting external sensory input. C. elegans is thus an excellent model in which to study sensory neuron development, function, and behavior. We have generated a genetic rescue system that allows in vivo analyses of isolated CSNs at both cellular and systemic levels. We used the RFX transcription factor DAF-19, a key regulator of ciliogenesis. Mutations in daf-19 result in the complete absence of all sensory cilia and thus of external sensory input. In daf-19 mutants, we used cell-specific rescue of DAF-19 function in selected neurons, thereby generating animals with single, fully functional CSNs. Otherwise and elsewhere these animals are completely devoid of any environmental input through cilia. We demonstrated the rescue of fully functional, single cilia using fluorescent markers, sensory behavioral assays, and calcium imaging. Our technique, functional rescue in single sensory cilia (FRISSC), can thus cell-autonomously and cell-specifically restore the function of single sensory neurons and their ability to respond to sensory input. FRISSC can be adapted to many different CSNs and thus constitutes an excellent tool for studying sensory behaviors, both in single animals and in populations of worms. FRISSC will be very useful for the molecular dissection of sensory perception in CSNs and for the analysis of the developmental aspects of ciliogenesis.",WBPaper00035071,Worms with a single functional sensory cilium generate proper neuron-specific behavioral output.,Genetics,2009,Senti G|Ezcurra M|Lobner J|Schafer WR|Swoboda P
"Monitoring Editor: Erika Holzbaur The intraflagellar transport (IFT) machinery required to build functional cilia consists of a multisubunit complex whose molecular composition, organization and function is poorly understood. Here, we describe a novel WD repeat (WDR) containing IFT protein from C. elegans, DYF-2, that plays a critical role in maintaining the structural and functional integrity of the IFT machinery. We determined the identity of the dyf-2 gene by transgenic rescue of mutant phenotypes and by sequencing of mutant alleles. Loss of DYF-2 function selectively affects the assembly and motility of different IFT components and leads to defects in cilia structure and chemosensation in the nematode. Based on these observations, and the analysis of DYF-2 movement in a Bardet-Biedl syndrome mutant with partially disrupted IFT particles, we conclude that DYF-2 can associate with IFT particle complex B. At the same time, mutations in dyf-2 can interfere with the function of complex A components, suggesting an important role of this protein in the assembly of the IFT particle as a whole. Importantly, the mouse ortholog of DYF-2, WDR19, also localizes to cilia, pointing to an important evolutionarily conserved role for this WDR protein in cilia development and function.",WBPaper00028470,"Caenorhabditis elegans DYF-2, an orthologue of human WDR19, is a component of the intraflagellar transport machinery in sensory cilia.",Mol Biol Cell,2006,Efimenko E|Blacque OE|Ou G|Haycraft CJ|Yoder BK|Scholey JM|Leroux MR|Swoboda P
"Mutations affecting dauer larva formation result in one of two phenotypes: dauer defective (Daf-d) or dauer constitutive (Daf-c). Daf-d mutants do not form dauers under dauer-inducing conditions, whereas Daf-c mutants form dauers under non-inducing conditions. Ciliated sensory neurons in the amphids mediate the response to these environmental conditions. Mutations that affect the morphology of these ciliated sensory endings are usually Daf-d. daf-19 mutants are the exception: they completely lack ciliated endings and are Daf-c. All three alleles of daf-19 (m86, sa190, sa232) are strongly Daf-c: ca. 70% or more dauer larvae at 15 C, ca. 95% or more at 25 C (dauer formation is an inherently temperature sensitive process). The unusual combination of phenotypes could be due to a cell fate specification defect during amphid neuron development. Killing the amphid neurons ADF, ASI and ASG causes a Daf-c phenotype, suggesting that impaired development of amphid neurons can trigger dauer formation. By analysis of daf-d; daf-19 double mutants, we have positioned daf-19 in the formal genetic pathway for dauer formation. daf-19 is epistatic to Daf-d mutations in both parallel branches of this pathway and lies upstream of the Daf-d gene daf-12. The genes in the parallel branches are thought to be important for sensory response leading to dauer formation, whereas the genes downsteam and including daf-12 are thought to be important for the reception of amphid neuronal signals by target tissues and for the activation of dauer larva morphogenesis. A possible interpretation of epistasis analyses is that daf-19 affects a basic function of the amphid neurons involved leading to a Daf-c sensory response. Germline transformation rescue experiments demonstrated that two overlapping cosmid clones, ZK945 and F27E5, individually rescue daf-19 phenotypes. Subsequent rescue by various subclones from the 9 kbp overlap region revealed that daf-19 is the same as the gene F27E5.5 (predicted by the C. elegans genome project). Database searches and comparisons showed that this gene encodes a novel protein with several putative transmembrane domains and weak similarity to human melanocortin peptide hormone receptors. Melanocortins have diverse functions, including regulating nerve cell growth during development and regeneration after damage. Taken together the results suggest that daf-19 might encode a protein involved in cell specification or morphogenesis of amphid sensory neurons. Mutations in daf-19 may thus interfere with the normal dauer formation signalling by causing misspecification of neurons.",WBPaper00017206,daf-19 CONTROLS SENSORY NEURON DEVELOPMENT IN C. ELEGANS,West Coast Worm Meeting,1996,Swoboda P|Hankins EG|Adler HT|Thomas JH
"DAF-19, the only RFX transcription factor found in C. elegans, is required for the formation of neuronal sensory cilia. Four isoforms of the DAF-19 protein have been reported, and the daf-19(m86) nonsense mutation affecting all four isoforms has been shown to prevent cilia formation. Transcriptome analyses employing microarrays of L1 or adult stage worms were completed using RNA from daf-19(m86) worms and an isogenic wild type strain to identify potential additional DAF-19 target genes. Using transcriptional fusions with GFP, we compared the expression patterns of several potential target genes using fluorescence confocal microscopy.  Our data indicate that at least three new genes are activated by DAF-19 in both ciliated and non-ciliated sensory neurons.  One gene is activated in IL2 neurons, a class of ciliated sensory neurons while two genes are activated by DAF-19 in the URX neuron.  URX is through to be important for aerotaxis, lifespan regulation, and suppression of innate immunity. These results suggest a role for DAF-19 beyond that of ciliogenesis. We are currently exploring whether expression of these target genes is dependent on a particular isoform of DAF-19.",WBPaper00047940,Activation of Target Gene Expression in Neurons by the RFX Transcription Factor DAF-19.,International Worm Meeting,2015,"Mueller, Katherine|Phirke, Prasad|Sugiaman-Trapman, Debora|Swoboda, Peter|De Stasio, Elizabeth A."
"We describe here the functional analysis of the C. elegans LIM homeobox gene lim-6, the ortholog of the mammalian Lmx-1a and b genes that regulate limb, CNS, kidney and eye development. lim-6 is expressed in a small number of sensory-, inter- and motorneurons, in epithelial cells of the uterus and in the excretory system. Loss of lim-6 function affects late events in the differentiation of two classes of GABAergic motorneurons which control rhythmic enteric muscle contraction. lim-6 is required to specify the correct axon morphology of these neurons and also regulates expression of glutamic acid decarboxylase, the rate limiting enzyme of GABA synthesis in these neurons. Moreover, lim-6 gene activity and GABA signaling regulate neuroendocrine outputs of the nervous system. In the chemosensory system lim-6 regulates the asymmetric expression of a probable chemosensory receptor. lim-6 is also required in epithelial cells for uterine morphogenesis. We compare the function of lim-6 to those of other LIM homeobox genes in C. elegans and suggest that LIM homeobox genes share the common theme of controlling terminal neural differentiation steps that when disrupted lead to specific neuroanatomical and neural function defects.",WBPaper00003509,The Caenorhabditis elegans lim-6 LIM homeobox gene regulates neurite outgrowth and function of particular GABAergic neurons.,Development,1999,Hobert O|Tessmar K|Ruvkun GB
"Regulatory Factor X transcription factors (RFX TFs) are best known for activating genes required for ciliogenesis in both vertebrates and invertebrates. In humans, eight RFX TFs have a variety of tissue-specific functions, while in the worm Caenorhabditis elegans, the sole RFX gene, daf-19, encodes a set of nested isoforms. Null alleles of daf-19 confer pleiotropic effects including altered development with a dauer constitutive phenotype, complete absence of cilia and ciliary proteins, and defects in synaptic protein maintenance. We sought to identify RFX/daf-19 target genes associated with neuronal functions other than ciliogenesis using comparative transcriptome analyses at different life stages of the worm. Subsequent characterization of gene expression patterns revealed one set of genes activated in the presence of DAF-19 in ciliated sensory neurons and whose activation requires the daf-19c isoform, also required for ciliogenesis. A second set of genes is down-regulated in the presence of DAF-19, primarily in non-sensory neurons. The human orthologs of some of these neuronal genes are associated with human diseases. We report the novel finding that daf-19a is directly or indirectly responsible for down-regulation of these neuronal genes in C. elegans by characterizing a new mutation affecting the daf-19a isoform (tm5562) and not associated with ciliogenesis, but which confers synaptic and behavioral defects. We have thus identified a new regulatory role for RFX TFs in the nervous system. The new daf-19 candidate target genes we have identified by transcriptomics will serve to uncover the molecular underpinnings of the pleiotropic effects daf-19 exerts on nervous system function.",WBPaper00053550,"An Expanded Role for the RFX Transcription Factor DAF-19, with Dual Functions in Ciliated and Non-ciliated Neurons.",Genetics,2018,De Stasio EA|Mueller KP|Bauer RJ|Hurlburt AJ|Bice SA|Scholtz SL|Phirke P|Sugiaman-Trapman D|Stinson LA|Olson HB|Vogel SL|Ek-Vazquez Z|Esemen Y|Korzynski J|Wolfe K|Arbuckle BN|Zhang H|Lombard-Knapp G|Piasecki BP|Swoboda P
"Cilia are conserved cellular structures that facilitate sensory-based processes, including those required for neuronal and kidney functions. Here, we show that the human mitogen activated kinase-15 (MAPK-15) ortholog in Caenorhabditis elegans encodes a ciliary protein. A strain harboring a mutation in the catalytic site of the kinase domain results in ciliary-specific defects in tail neurons of both hermaphrodite and male worms, manifesting in dye uptake, dendrite extension, and male mating behavior defects. Transgenic-fusion constructs for two mapk-15 isoforms (A and C) with full-length kinase domains were generated. Expression of either the A- or C-specific isoform rescues the dye-filling and male-mating defective phenotypes, confirming the ciliary function of mapk-15. Expression of mapk-15 occurs in many ciliated-sensory neurons of the head and tail in hermaphrodite and male worms. Localization of MAPK-15 isoforms A and C occurs in the cell body, dendritic processes, and cilia. A C. elegans ortholog of polycystin-2, a protein that when defective in mammals results in autosomal dominant polycystic kidney disease, is mislocalized in the male ray neurons of mapk-15 mutant worms. Expression of the mapk-15 gene by the pkd-2 promoter partially rescues the male-mating defects observed in mapk-15 mutant animals. Expression of mapk-15 is DAF-19/RFX dependent in some CSNs and DAF-19/RFX independent in others. Collectively, these data suggest that MAPK-15 functions upstream of PKD-2 localization to modulate ciliary sensory functions.",WBPaper00051560,MAPK-15 is a ciliary protein required for PKD-2 localization and male mating behavior in Caenorhabditis elegans.,Cytoskeleton (Hoboken),2017,Piasecki BP|Sasani TA|Lessenger AT|Huth N|Farrell S
"A degenerative disease-like phenotype, specifically reduction in synaptic protein levels in adult worms, is correlated with loss-of-function of the only RFX transcription factor gene, daf-19, in C. elegans. This gene encodes four known transcription factor isoforms, two of which are correlated with particular functions. The DAF-19C isoform activates genes responsible for cilia development, while DAF-19M is needed for cilia specification in males. A comparison of the transcriptome of daf-19 null and isogenic wild type adult worms suggests both positive and negative regulation of gene expression is correlated with the presence of DAF-19 proteins. We have assessed DAF-19 regulation of gene expression using transcriptional fusion constructs of putative target genes in daf-19 wild type and mutant worms. We have found that at least three genes are repressed by the DAF-19 transcription factor in particular nerve cells. In one case, differential gene expression is seen in sensory neurons while differential expression of two other genes is limited to interneurons. Interestingly, none of these genes have been shown to contain an X-box, the cis-acting sequence used to activate genes involved in cilia formation. These data suggest that DAF-19 has an additional role beyond that of sensory neuron development and specification. Because the daf-19 gene produces at least four related proteins, further experimentation is required to determine which DAF-19 isoform(s) are responsible for repression of gene expression. We are currently using new alleles of daf-19 to whether the largest DAF-19 proteins, DAF-19A/B have a role in repressing target gene expression.",WBPaper00047993,"Repression of Neuronal Gene Expression by the RFX Transcription Factor, DAF-19.",International Worm Meeting,2015,"Ek-Vazquez, Zabdiel|Vogel, Savannah|Hurlburt, Alex|Sugiaman-Trapman, Debora|Swoboda, Peter|De Stasio, Elizabeth A."
"BACKGROUND: C. elegans is an important model for genetic studies relevant to human biology and disease. We sought to assess the orthology between C. elegans and human genes to understand better the relationship between their genomes and to generate a compelling list of candidates to streamline RNAi-based screens in this model. RESULTS: We performed a meta-analysis of results from four orthology prediction programs and generated a compendium, ""OrthoList"", containing 7,663 C. elegans protein-coding genes. Various assessments indicate that OrthoList has extensive coverage with low false-positive and false-negative rates. Part of this evaluation examined the conservation of components of the receptor tyrosine kinase, Notch, Wnt, TGF-B and insulin signaling pathways, and led us to update compendia of conserved C. elegans kinases, nuclear hormone receptors, F-box proteins, and transcription factors. Comparison with two published genome-wide RNAi screens indicated that virtually all of the conserved hits would have been obtained had just the OrthoList set (38% of the genome) been targeted. We compiled Ortholist by InterPro domains and Gene Ontology annotation, making it easy to identify C. elegans orthologs of human disease genes for potential functional analysis. CONCLUSIONS: We anticipate that OrthoList will be of considerable utility to C. elegans researchers for streamlining RNAi screens, by focusing on genes with apparent human orthologs, thus reducing screening effort by 60%. Moreover, we find that OrthoList provides a useful basis for annotating orthology and reveals more C. elegans orthologs of human genes in various functional groups, such as transcription factors, than previously described.",WBPaper00038491,OrthoList: a compendium of C. elegans genes with human orthologs.,PLoS One,2011,Shaye DD|Greenwald I
