pmid,id,journal,year,title,author,abstract
23316847,WBPaper00041985,J Recept Signal Transduct Res,2013,Conserved SAMS function in regulating egg-laying in C. elegans.,Tamiya H|Hirota K|Takahashi Y|Daitoku H|Kaneko Y|Sakuta G|Iizuka K|Watanabe S|Ishii N|Fukamizu A,"S-adenosyl-L-methionine (SAM) is an intermediate metabolite of methionine and serves as the methyl donor for many biological methylation reactions. The synthesis of SAM is catalyzed by SAM synthetase (SAMS), which transfers the adenosyl moiety of adenosine-5'-triphosphate to methionine. In the nematode Caenorhabditis elegans, four sams family genes, sams-1, -3, -4 and -5, are predicted to encode SAMS proteins. However, their physiological roles remain unclear. Here we show that the four predicted SAMS proteins in fact have the ability to catalyze the formation of SAM in vitro, and revealed that only sams-1 mutant animals among the family genes exhibited a significant reduction in egg-laying. Using transgenic animals carrying a transcriptional reporter for each sams gene promoter, we observed that each sams promoter confers a distinct expression pattern with respect to tissue, time of expression and expression level (i.e. promoter specificity). Promoter-swap experiments revealed that the ectopic expression of SAMS-3, -4 or -5 driven by the sams-1 promoter completely rescued egg-laying in sams-1 mutants. These data indicate that SAMS protein function is conserved throughout the entire family."
36662373,WBPaper00064934,Biogerontology,2023,Adult-restricted gene knock-down reveals candidates that affect locomotive healthspan in C. elegans.,Jushaj A|Churgin M|De La Torre M|Kieswetter A|Driesschaert B|Dhondt I|Braeckman BP|Fang-Yen C|Temmerman L,"Understanding how we can age healthily is a challenge at the heart of biogerontological interest. Whereas myriad genes are known to affect the lifespan of model organisms, effects of such interventions on healthspan-the period of life where an animal is considered healthy, rather than merely alive-are less clear. To understand relationships between life- and healthspan, in recent years several platforms were developed with the purpose of assessing both readouts simultaneously. We here relied on one such platform, the WorMotel, to study effects of adulthood-restricted knock-down of 130 Caenorhabditis elegans genes on the locomotive health of the animals along their lifespans. We found that knock-down of six genes affected healthspan while lifespan remained unchanged. For two of these, F26A3.4 and chn-1, knock-down resulted in an improvement of healthspan. In follow-up experiments we showed that knockdown of F26A3.4 indeed improves locomotive health and muscle structure at old age."
24218109,WBPaper00044448,Mol Cells,2013,Cholesterol-responsive metabolic proteins are required for larval development in Caenorhabditis elegans.,Kawasaki I|Jeong MH|Yun YJ|Shin YK|Shim YH,"Caenorhabditis elegans, a cholesterol auxotroph, showed defects in larval development upon cholesterol starvation (CS) in a previous study. To identify cholesterol-responsive proteins likely responsible for the larval arrest upon CS, a comparative proteomic analysis was performed between C. elegans grown in normal medium supplemented with cholesterol (CN) and those grown in medium not supplemented with cholesterol (cholesterol starvation, CS). Our analysis revealed significant change (more than 2.2-fold, p &lt; 0.05) in nine proteins upon CS. Six proteins were down-regulated [CE01270 (EEF-1A.1), CE08852 (SAMS-1), CE11068 (PMT-2), CE09015 (ACDH-1), CE12564 (R07H5.8), and CE09655 (RLA-0)], and three proteins were up-regulated [CE29645 (LEC-1), CE16576 (LEC-5), and CE01431 (NEX-1)]. RNAi phenotypes of two of the down-regulated genes, R07H5.8 (adenosine kinase) and rla-0 (ribosomal protein), in CN were similar to that of larval arrest in CS, and RNAi of a down-regulated gene, R07H5.8, in CS further enhanced the effects of CS, suggesting that down-regulation of these genes is likely responsible for the larval arrest in CS. All three up-regulated genes contain putative DAF-16 binding sites and mRNA levels of these three genes were all decreased in daf-16 mutants in CN, suggesting that DAF-16 activates expression of these genes."
24529378,WBPaper00044854,Cell,2014,Interspecies systems biology uncovers metabolites affecting C. elegans gene expression and life history traits.,Watson E|MacNeil LT|Ritter AD|Yilmaz LS|Rosebrock AP|Caudy AA|Walhout AJ,"Diet greatly influences gene expression and physiology. In mammals, elucidating the effects and mechanisms of individual nutrients is challenging due to the complexity of both the animal and its diet. Here, we used an interspecies systems biology approach with Caenorhabditis elegans and two of its bacterial diets, Escherichia coli and Comamonas aquatica, to identify metabolites that affect the animal's gene expression and physiology. We identify vitamin B12 as the major dilutable metabolite provided by Comamonas aq. that regulates gene expression, accelerates development, and reduces fertility but does not affect lifespan. We find that vitamin B12 has a dual role in the animal: it affects development and fertility via the methionine/S-Adenosylmethionine (SAM) cycle and breaks down the short-chain fatty acid propionic acid, preventing its toxic buildup. Our interspecies systems biology approach provides a paradigm for understanding complex interactions between diet and physiology."
26675724,WBPaper00048988,Nature,2016,The C. elegans adult neuronal IIS/FOXO transcriptome reveals adult phenotype regulators.,Kaletsky R|Lakhina V|Arey R|Williams A|Landis J|Ashraf J|Murphy CT,"Insulin/insulin-like growth factor signalling (IIS) is a critical regulator of an organism's most important biological decisions from growth, development, and metabolism to reproduction and longevity. It primarily does so through the activity of the DAF-16 transcription factor (forkhead box O (FOXO) homologue), whose global targets were identified in Caenorhabditis elegans using whole-worm transcriptional analyses more than a decade ago. IIS and FOXO also regulate important neuronal and adult behavioural phenotypes, such as the maintenance of memory and axon regeneration with age, in both mammals and C. elegans, but the neuron-specific IIS/FOXO targets that regulate these functions are still unknown. By isolating adult C. elegans neurons for transcriptional profiling, we identified both the wild-type and IIS/FOXO mutant adult neuronal transcriptomes for the first time. IIS/FOXO neuron-specific targets are distinct from canonical IIS/FOXO-regulated longevity and metabolism targets, and are required for extended memory in IIS daf-2 mutants. The activity of the forkhead transcription factor FKH-9 in neurons is required for the ability of daf-2 mutants to regenerate axons with age, and its activity in non-neuronal tissues is required for the long lifespan of daf-2 mutants. Together, neuron-specific and canonical IIS/FOXO-regulated targets enable the coordinated extension of neuronal activities, metabolism, and longevity under low-insulin signalling conditions."
27334271,WBPaper00049732,Genetics,2016,BLIMP-1/BLMP-1 and Metastasis Associated Protein (MTA1) Regulate Stress Resistant Development in Caenorhabditis elegans.,Hyun M|Kim J|Dumur C|Schroeder FC|You YJ,"Environmental stress triggers multilevel adaptations in animal development, which depend in part on epigenetic mechanisms. In response to harsh environmental conditions and pheromone signals, C. elegans larvae become the highly stress-resistant and long-lived dauer. Despite extensive studies of dauer formation pathways that integrate specific environmental cues and appear to depend on transcriptional reprogramming, the role of epigenetic regulation in dauer development has remained unclear. Here we report that BLMP-1, the BLIMP-1 ortholog, regulates dauer formation via epigenetic pathways; in the absence of TGF signaling (in daf-7 mutants), lack of blmp-1 caused lethality. Using this phenotype we screened 283 epigenetic factors, and identified lin-40, a homolog of metastasis associate protein MTA1, as an interactor of BLMP-1. The interaction between LIN-40 and BLMP-1 is conserved because mammalian homologs for both MTA1 and BLIMP1 could also interact. From microarray studies, we identified several downstream target genes of blmp-1: npr-3, nhr-23, ptr-4, and sams-1 Among them SAMS-1, S-adenosyl methionine synthase, is the key enzyme for production of SAM used in histone methylation. Indeed, blmp-1 is necessary for controlling histone methylation level in daf-7 mutants, suggesting BLMP-1 regulates the expression of SAMS-1, which in turn may regulate histone methylation and dauer formation. Our results reveal a new interaction between BLMP-1/BLIMP1 and LIN-40/MTA1, as well as potential epigenetic downstream pathways, whereby these proteins cooperate to regulate stress-specific developmental adaptations."
36357390,WBPaper00064661,Nat Commun,2022,A conserved megaprotein-based molecular bridge critical for lipid trafficking and cold resilience.,Wang C|Wang B|Pandey T|Long Y|Zhang J|Oh F|Sima J|Guo R|Liu Y|Zhang C|Mukherjee S|Bassik M|Lin W|Deng H|Vale G|McDonald JG|Shen K|Ma DK,"Cells adapt to cold by increasing levels of unsaturated phospholipids and membrane fluidity through conserved homeostatic mechanisms. Here we report an exceptionally large and evolutionarily conserved protein LPD-3 in C. elegans that mediates lipid trafficking to confer cold resilience. We identify lpd-3 mutants in a mutagenesis screen for genetic suppressors of the lipid desaturase FAT-7. LPD-3 bridges the endoplasmic reticulum (ER) and plasma membranes (PM), forming a structurally predicted hydrophobic tunnel for lipid trafficking. lpd-3 mutants exhibit abnormal phospholipid distribution, diminished FAT-7 abundance, organismic vulnerability to cold, and are rescued by Lecithin comprising unsaturated phospholipids. Deficient lpd-3 homologues in Zebrafish and mammalian cells cause defects similar to those observed in C. elegans. As mutations in BLTP1, the human orthologue of lpd-3, cause Alkuraya-Kucinskas syndrome, LPD-3 family proteins may serve as evolutionarily conserved highway bridges critical for ER-associated non-vesicular lipid trafficking and resilience to cold stress in eukaryotic cells."
36732543,WBPaper00064989,Nat Commun,2023,FMO rewires metabolism to promote longevity through tryptophan and one carbon metabolism in C. elegans.,Choi HS|Bhat A|Howington MB|Schaller ML|Cox RL|Huang S|Beydoun S|Miller HA|Tuckowski AM|Mecano J|Dean ES|Jensen L|Beard DA|Evans CR|Leiser SF,"Flavin containing monooxygenases (FMOs) are promiscuous enzymes known for metabolizing a wide range of exogenous compounds. In C. elegans, fmo-2 expression increases lifespan and healthspan downstream of multiple longevity-promoting pathways through an unknown mechanism. Here, we report that, beyond its classification as a xenobiotic enzyme, fmo-2 expression leads to rewiring of endogenous metabolism principally through changes in one carbon metabolism (OCM). These changes are likely relevant, as we find that genetically modifying OCM enzyme expression leads to alterations in longevity that interact with fmo-2 expression. Using computer modeling, we identify decreased methylation as the major OCM flux modified by FMO-2 that is sufficient to recapitulate its longevity benefits. We further find that tryptophan is decreased in multiple mammalian FMO overexpression models and is a validated substrate for FMO-2. Our resulting model connects a single enzyme to two previously unconnected key metabolic pathways and provides a framework for the metabolic interconnectivity of longevity-promoting pathways such as dietary restriction. FMOs are well-conserved enzymes that are also induced by lifespan-extending interventions in mice, supporting a conserved and important role in promoting health and longevity through metabolic remodeling."
NA,WBPaper00058042,International Worm Meeting,2019,WormCat: an online tool for categorizing and visualizing gene set enrichments from expression profiling and phenotypic screening data.,"Holdorf, Amy|Higgins, Daniel|Hart, Anne|Boag, Peter|Walhout, A.J. Marion|Walker, Amy","The emergence large sets of gene regulation data has revealed the need for improved tools to 1) identify enriched functional gene categories and 2) visualize enrichment patterns across comparative datasets. Gene ontogeny enrichment (GO) has several limitations for C. elegansanalysis. First, around 30% of C. elegans genes are not represented. Second, it is difficult to compare multiple GO analyses. To allow visualization and categorization of C. elegansgene sets from RNA sequencing or genetic screening data, we have developed a web-based tool, WormCat, that uses a near complete functional and molecular annotation of C. elegans genes to determine category enrichment. Then WormCat provides a scaled heat map for visualization along with enrichment statistics and annotation of each input gene. We have developed two annotation strategies: (1) a physiology-first annotation list using phenotype information from Wormbase and (2) a molecular function annotation list. In the physiology-first list, each gene is annotated by three nested categories (e.g., Stress response: pathogen: CUB protein) with enrichment scores generated at each level, allowing both broad (Cat1) and more detailed analysis (Cat2, Cat3). We have tested WormCat on different published datasets and found that WormCat identifies major GO categories and also provides additional information for interpreting phenotypes or predicting biological function. In one example, using RNA-seq data from the knockdown of sams-1, we found that WormCat identified 40 genes with functions in Metabolism: lipid(p < 6.0 x10-11).  GO returned lipid metabolism; however, it identified only 26 genes with 23% having little clear relationship to lipid metabolism. This shows that Worm Cat can dramatically improve on GO analysis.  In addition, we have identified novel regulated categories from spermatogenic gene sets (Ortiz et al. G3, 2014). Within the spermatogenic gene sets, the Cytoskeleton enrichment is 1.0x10-14 for Cat1, Cytoskeleton: Microtubuleis 1x10-22 for Cat2 and Cytoskeleton: Microtubule: tau tubulin kinaseis 4.5x10-29 for Cat3. A single tau tubulin kinase, spe-6, has been previously identified as important for major sperm protein assembly (Varkey et al., Genetics, 1993). Our enrichment results suggest this entire gene class may have important functions in sperm development. Thus, WormCat is a powerful tool that will allow sophisticated analysis of gene enrichment in different types ofC. elegansdatasets."
NA,WBPaper00062825,International Worm Meeting,2021,Identifying Metabolic Alterations That Activate the UPR-ER in vivo,"Xu, Jiaming|Taubert, Stefan","Endoplasmic reticulum (ER) stress due to protein misfolding is observed in many diseases such as cancer, diabetes, and metabolic diseases. ER homeostasis can be restored by activation of the unfolded protein response (UPR-ER), which alleviates the molecular stress or induces cell death when damage is too severe. In higher eukaryotes, the UPR consists of three branches: The Inositol-Requiring-Enzyme 1 (IRE-1) branch, the protein kinase RNA-like ER kinase (PEK-1) branch, and the Activating Transcription Factor 6 (ATF-6) branch. When misfolded proteins accumulate in the ER lumen, these sensors activate downstream effectors, which together attenuate global translation and transcriptionally upregulate genes that restore homeostasis. Interestingly, abnormal membrane lipid composition also induces the UPR-ER, independent of protein misfolding. However, to date we lack a global view of genetic perturbations that activate the UPR-ER in metazoans. To identify proteotoxicity-independent metabolic pathways that affect ER homeostasis, I used RNA interference (RNAi) to inactivate 1247 metabolic genes in Caenorhabditis elegans with the IRE-1 branch specific transcriptional reporter, hsp-4p::gfp. After screening and rigorous validation, I obtained 34 high-confidence xbp-1-dependent hits that also activate the PEK-1 branch. Next, I used quantitative real-time PCR to show that 11 of 15 tested RNAi clones induce the endogenous UPR-ER in wild-type worms. Then I tested whether dietary choline supplementation, which suppresses UPR-ER in worms defective for phosphatidylcholine (PC) synthesis pathway, is sufficient to suppress UPR-ER activation in our hits. Of the 34 hits, 3 were partially rescued by dietary supplementation of choline along with the complete rescue of sams-1 RNAi-treated animals, suggesting majority of the hits does not activate the UPR-ER via defective PC synthesis. Finally, I performed follow-up studies on one of the hit pathways on DNA replication. In early embryos, DNA replication stress induces UPR-ER activation, but not the mechanistically distinct cytosolic or mitochondrial UPRs, in a partially ire-1-, xbp-1-independent manner. This suggests that replication stress does not trigger global protein misfolding. Interestingly, genomic instability caused by loss of DNA repair pathways such as mismatch repair, nucleotide excision repair, and cohesin, which is essential for proper chromosome segregation, did not activate the UPR-ER, suggesting that molecular events specific to replication stress activate hsp-4 and the UPR-ER in the embryo. In sum, by identifying new genes that affect UPR-ER homeostasis in C. elegans, my project provides new insights into UPR-ER regulation and may serve as a starting point for the discovery of drug targets for human diseases featuring UPR-ER dysfunction."
26390854,WBPaper00048579,Exp Gerontol,2015,Metabolome and proteome changes with aging in Caenorhabditis elegans.,Copes N|Edwards C|Chaput D|Saifee M|Barjuca I|Nelson D|Paraggio A|Saad P|Lipps D|Stevens SM|Bradshaw PC,"To expand the understanding of aging in the model organism Caenorhabditis elegans, global quantification of metabolite and protein levels in young and aged nematodes was performed using mass spectrometry. With age, there was a decreased abundance of proteins functioning in transcription termination, mRNA degradation, mRNA stability, protein synthesis, and proteasomal function. Furthermore, there was altered S-adenosyl methionine metabolism as well as a decreased abundance of the S-adenosyl methionine synthetase (SAMS-1) protein. Other aging-related changes included alterations in free fatty acid levels and composition, decreased levels of ribosomal proteins, decreased levels of NADP-dependent isocitrate dehydrogenase (IDH1), a shift in the cellular redox state, an increase in sorbitol content, alterations in free amino acid levels, and indications of altered muscle function and sarcoplasmic reticulum Ca(2+) homeostasis. There were also decreases in pyrimidine and purine metabolite levels, most markedly nitrogenous bases. Supplementing the culture medium with cytidine (a pyrimidine nucleoside) or hypoxanthine (a purine base) increased lifespan slightly, suggesting that aging-induced alterations in ribonucleotide metabolism affect lifespan. An age-related increase in body size, lipotoxicity from ectopic yolk lipoprotein accumulation, a decline in NAD(+) levels, and mitochondrial electron transport chain dysfunction may explain many of these changes. In addition, dietary restriction in aged worms resulting from sarcopenia of the pharyngeal pump likely decreases the abundance of SAMS-1, possibly leading to decreased phosphatidylcholine levels, larger lipid droplets, and ER and mitochondrial stress. The complementary use of proteomics and metabolomics yielded unique insights into the molecular processes altered with age in C. elegans."
