Journal Name,ISSN,2021 JIF,eISSN,Category
Nature Reviews Materials,2058-8437,76.679,2058-8437,"NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)"
Nature Reviews Gastroenterology & Hepatology,1759-5045,73.082,1759-5053,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1)
Lancet Public Health,2468-2667,72.427,2468-2667,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1)"
CHEMICAL REVIEWS,0009-2665,72.087,1520-6890,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)"
LANCET INFECTIOUS DISEASES,1473-3099,71.421,1474-4457,INFECTIOUS DISEASES - SCIE(Q1)
NATURE REVIEWS CANCER,1474-175X,69.8,1474-1768,ONCOLOGY - SCIE(Q1)
NATURE,0028-0836,69.504,1476-4687,MULTIDISCIPLINARY SCIENCES - SCIE(Q1)
NATURE BIOTECHNOLOGY,1087-0156,68.164,1546-1696,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q1)
Nature Energy,2058-7546,67.439,2058-7546,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); ENERGY & FUELS - SCIE(Q1)"
CELL,0092-8674,66.85,1097-4172,CELL BIOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1)
Nature Reviews Disease Primers,2056-676X,65.038,2056-676X,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)"
Nature Reviews Clinical Oncology,1759-4774,65.011,1759-4782,ONCOLOGY - SCIE(Q1)
SCIENCE,0036-8075,63.714,1095-9203,MULTIDISCIPLINARY SCIENCES - SCIE(Q1)
CHEMICAL SOCIETY REVIEWS,0306-0012,60.615,1460-4744,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)"
LANCET NEUROLOGY,1474-4422,59.935,1474-4465,CLINICAL NEUROLOGY - SCIE(Q1)
NATURE REVIEWS GENETICS,1471-0056,59.581,1471-0064,GENETICS & HEREDITY - SCIE(Q1)
Psychological Science in the Public Interest,1529-1006,56.2,1539-6053,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q1)"
LANCET ONCOLOGY,1470-2045,54.433,1474-5488,ONCOLOGY - SCIE(Q1)
ANNALS OF ONCOLOGY,0923-7534,51.769,1569-8041,ONCOLOGY - SCIE(Q1)
ANNALS OF INTERNAL MEDICINE,0003-4819,51.598,1539-3704,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)"
JOURNAL OF CLINICAL ONCOLOGY,0732-183X,50.717,1527-7755,ONCOLOGY - SCIE(Q1)
REVIEWS OF MODERN PHYSICS,0034-6861,50.485,1539-0756,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)"
CLINICAL MICROBIOLOGY REVIEWS,0893-8512,50.129,1098-6618,MICROBIOLOGY - SCIE(Q1)
Nature Reviews Cardiology,1759-5002,49.421,1759-5010,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1)
PROGRESS IN MATERIALS SCIENCE,0079-6425,48.165,1873-2208,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)"
NATURE METHODS,1548-7091,47.99,1548-7105,BIOCHEMICAL RESEARCH METHODS - SCIE(Q1)
NATURE MATERIALS,1476-1122,47.656,1476-4660,"CHEMISTRY, PHYSICAL - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1); PHYSICS, CONDENSED MATTER - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)"
Nature Reviews Endocrinology,1759-5029,47.564,1759-5037,ENDOCRINOLOGY & METABOLISM - SCIE(Q1)
PHYSIOLOGICAL REVIEWS,0031-9333,46.5,1522-1210,PHYSIOLOGY - SCIE(Q1)
CELL RESEARCH,1001-0602,46.297,1748-7838,CELL BIOLOGY - SCIE(Q1)
Joule,2542-4351,46.048,2542-4351,"ENERGY & FUELS - SCIE(Q1); CHEMISTRY, PHYSICAL - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)"
Lancet Gastroenterology & Hepatology,N/A,45.042,2468-1253,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1)
Lancet Diabetes & Endocrinology,2213-8587,44.867,2213-8595,ENDOCRINOLOGY & METABOLISM - SCIE(Q1)
Nature Reviews Neurology,1759-4758,44.711,1759-4766,CLINICAL NEUROLOGY - SCIE(Q1)
JAMA Internal Medicine,2168-6106,44.409,2168-6114,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)"
IMMUNITY,1074-7613,43.474,1097-4180,IMMUNOLOGY - SCIE(Q1)
Living Reviews in Relativity,2367-3613,42.9,1433-8351,"PHYSICS, PARTICLES & FIELDS - SCIE(Q1)"
Nature Reviews Nephrology,1759-5061,42.439,1759-507X,UROLOGY & NEPHROLOGY - SCIE(Q1)
INTENSIVE CARE MEDICINE,0342-4642,41.787,1432-1238,CRITICAL CARE MEDICINE - SCIE(Q1)
Molecular Cancer,N/A,41.444,1476-4598,ONCOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1)
NATURE GENETICS,1061-4036,41.307,1546-1718,GENETICS & HEREDITY - SCIE(Q1)
Nature Catalysis,2520-1158,40.706,2520-1158,"CHEMISTRY, PHYSICAL - SCIE(Q1)"
Nature Nanotechnology,1748-3387,40.523,1748-3395,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1)"
CIRCULATION,0009-7322,39.918,1524-4539,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1); PERIPHERAL VASCULAR DISEASE - SCIE(Q1)
Nature Photonics,1749-4885,39.728,1749-4893,"OPTICS - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1)"
Energy & Environmental Science,1754-5692,39.714,1754-5706,"ENGINEERING, CHEMICAL - SCIE(Q1); CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1); ENERGY & FUELS - SCIE(Q1)"
JOURNAL OF TRAVEL MEDICINE,1195-1982,39.194,1708-8305,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); MEDICINE, GENERAL & INTERNAL - SCIE(Q1); INFECTIOUS DISEASES - SCIE(Q1)"
Lancet Global Health,2214-109X,38.927,2214-109X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1)"
NATURE REVIEWS NEUROSCIENCE,1471-003X,38.755,1471-0048,NEUROSCIENCES - SCIE(Q1)
JOURNAL OF INFECTION,0163-4453,38.637,1532-2742,INFECTIOUS DISEASES - SCIE(Q1)
CANCER CELL,1535-6108,38.585,1878-3686,ONCOLOGY - SCIE(Q1); CELL BIOLOGY - SCIE(Q1)
Cancer Discovery,2159-8274,38.272,2159-8290,ONCOLOGY - SCIE(Q1)
Signal Transduction and Targeted Therapy,2095-9907,38.104,2059-3635,CELL BIOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1)
Cell Discovery,N/A,38.079,2056-5968,CELL BIOLOGY - SCIE(Q1)
Lancet Child & Adolescent Health,2352-4642,37.746,2352-4642,PEDIATRICS - SCIE(Q1)
Journal of Public Transportation,1077-291X,37.667,N/A,TRANSPORTATION - SSCI(Q1)
Annual Review of Astronomy and Astrophysics,0066-4146,37.226,1545-4282,ASTRONOMY & ASTROPHYSICS - SCIE(Q1)
Nature Reviews Earth & Environment,N/A,37.214,2662-138X,"ENVIRONMENTAL SCIENCES - SCIE(Q1); GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q1)"
Lancet Digital Health,N/A,36.615,2589-7500,"MEDICAL INFORMATICS - SCIE(Q1); MEDICINE, GENERAL & INTERNAL - SCIE(Q1)"
MMWR Recommendations and Reports,1057-5987,36.286,1545-8601,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)"
Nature Reviews Physics,N/A,36.273,2522-5820,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1)"
EUROPEAN HEART JOURNAL,0195-668X,35.855,1522-9645,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1)
ASTRONOMY AND ASTROPHYSICS REVIEW,0935-4956,35.786,1432-0754,ASTRONOMY & ASTROPHYSICS - SCIE(Q1)
Lancet Rheumatology,2665-9913,35.482,2665-9913,RHEUMATOLOGY - SCIE(Q1)
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,0360-1285,35.339,1873-216X,"THERMODYNAMICS - SCIE(Q1); ENGINEERING, MECHANICAL - SCIE(Q1); ENERGY & FUELS - SCIE(Q1); ENGINEERING, CHEMICAL - SCIE(Q1)"
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,0149-2195,35.301,1545-861X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)"
Military Medical Research,2095-7467,34.915,2054-9369,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)"
Nature Reviews Chemistry,N/A,34.571,2397-3358,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)"
GASTROENTEROLOGY,0016-5085,33.883,1528-0012,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1)
IEEE Communications Surveys and Tutorials,N/A,33.84,1553-877X,"TELECOMMUNICATIONS - SCIE(Q1); COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE(Q1)"
EUROPEAN RESPIRATORY JOURNAL,0903-1936,33.795,1399-3003,RESPIRATORY SYSTEM - SCIE(Q1)
MATERIALS SCIENCE & ENGINEERING R-REPORTS,0927-796X,33.667,1879-212X,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1)"
Nature Electronics,2520-1131,33.255,2520-1131,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1)"
JAMA Oncology,2374-2437,33.006,2374-2445,ONCOLOGY - SCIE(Q1)
Electrochemical Energy Reviews,2520-8489,32.804,2520-8136,ELECTROCHEMISTRY - SCIE(Q1)
Annual Review of Immunology,0732-0582,32.481,1545-3278,IMMUNOLOGY - SCIE(Q1)
Annual Review of Pathology-Mechanisms of Disease,1553-4006,32.35,1553-4014,PATHOLOGY - SCIE(Q1)
Nature Reviews Rheumatology,1759-4790,32.286,1759-4804,RHEUMATOLOGY - SCIE(Q1)
ADVANCED MATERIALS,0935-9648,32.086,1521-4095,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1); CHEMISTRY, PHYSICAL - SCIE(Q1); PHYSICS, CONDENSED MATTER - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1)"
GUT,0017-5749,31.793,1468-3288,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1)
Cell Metabolism,1550-4131,31.373,1932-7420,CELL BIOLOGY - SCIE(Q1); ENDOCRINOLOGY & METABOLISM - SCIE(Q1)
Cell Host & Microbe,1931-3128,31.316,1934-6069,VIROLOGY - SCIE(Q1); PARASITOLOGY - SCIE(Q1); MICROBIOLOGY - SCIE(Q1)
PROGRESS IN POLYMER SCIENCE,0079-6700,31.281,1873-1619,POLYMER SCIENCE - SCIE(Q1)
NATURE IMMUNOLOGY,1529-2908,31.25,1529-2916,IMMUNOLOGY - SCIE(Q1)
Nature Microbiology,2058-5276,30.964,2058-5276,MICROBIOLOGY - SCIE(Q1)
Science Immunology,2470-9468,30.63,2470-9468,IMMUNOLOGY - SCIE(Q1)
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,30.528,1535-4970,RESPIRATORY SYSTEM - SCIE(Q1); CRITICAL CARE MEDICINE - SCIE(Q1)
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,0370-1573,30.51,1873-6270,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)"
JAMA Cardiology,2380-6583,30.154,2380-6591,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1)
Lancet Haematology,2352-3026,30.153,N/A,HEMATOLOGY - SCIE(Q1)
JOURNAL OF HEPATOLOGY,0168-8278,30.083,1600-0641,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1)
JAMA Neurology,2168-6149,29.907,2168-6157,CLINICAL NEUROLOGY - SCIE(Q1)
Advanced Energy Materials,1614-6832,29.698,1614-6840,"CHEMISTRY, PHYSICAL - SCIE(Q1); ENERGY & FUELS - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, CONDENSED MATTER - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1)"
Nature Biomedical Engineering,2157-846X,29.234,2157-846X,"ENGINEERING, BIOMEDICAL - SCIE(Q1)"
RADIOLOGY,0033-8419,29.146,N/A,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE(Q1)"
MMWR Surveillance Summaries,1545-8636,29.095,1545-8636,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1)"
NATURE NEUROSCIENCE,1097-6256,28.771,1546-1726,NEUROSCIENCES - SCIE(Q1)
Lancet Planetary Health,N/A,28.75,2542-5196,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1)"
Living Reviews in Solar Physics,2367-3648,28.7,1614-4961,ASTRONOMY & ASTROPHYSICS - SCIE(Q1)
Nature Climate Change,1758-678X,28.66,1758-6798,ENVIRONMENTAL STUDIES - SSCI(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1); METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE(Q1)
Annual Review of Plant Biology,1543-5008,28.31,1545-2123,PLANT SCIENCES - SCIE(Q1)
NATURE CELL BIOLOGY,1465-7392,28.213,1476-4679,CELL BIOLOGY - SCIE(Q1)
ANNALS OF THE RHEUMATIC DISEASES,0003-4967,27.973,1468-2060,RHEUMATOLOGY - SCIE(Q1)
Annual Review of Psychology,0066-4308,27.782,1545-2085,"PSYCHOLOGY - SCIE(Q1); PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q1)"
Science Robotics,2470-9476,27.541,2470-9476,ROBOTICS - SCIE(Q1)
Annual Review of Biochemistry,0066-4154,27.258,1545-4509,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1)
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,0735-1097,27.203,1558-3597,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1)
Nature Sustainability,2398-9629,27.157,2398-9629,ENVIRONMENTAL STUDIES - SSCI(Q1); ENVIRONMENTAL SCIENCES - SCIE(Q1); GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY - SSCI(Q1)
Dialogues in Human Geography,2043-8206,27,2043-8214,GEOGRAPHY - SSCI(Q1)
Materials Today,1369-7021,26.943,1873-4103,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)"
JAMA Pediatrics,2168-6203,26.796,2168-6211,PEDIATRICS - SCIE(Q1)
JAMA Psychiatry,2168-622X,25.911,2168-6238,PSYCHIATRY - SCIE(Q1); PSYCHIATRY - SSCI(Q1)
Nature Machine Intelligence,N/A,25.898,2522-5839,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE(Q1); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q1)"
Chem,2451-9294,25.832,2451-9294,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)"
STUDIES IN MYCOLOGY,0166-0616,25.731,1872-9797,MYCOLOGY - SCIE(Q1)
PSYCHOTHERAPY AND PSYCHOSOMATICS,0033-3190,25.617,1423-0348,PSYCHIATRY - SCIE(Q1); PSYCHOLOGY - SCIE(Q1); PSYCHIATRY - SSCI(Q1)
BLOOD,0006-4971,25.476,1528-0020,HEMATOLOGY - SCIE(Q1)
Annual Review of Fluid Mechanics,0066-4189,25.293,1545-4479,"MECHANICS - SCIE(Q1); PHYSICS, FLUIDS & PLASMAS - SCIE(Q1)"
Cell Stem Cell,1934-5909,25.269,1875-9777,CELL BIOLOGY - SCIE(Q1); CELL & TISSUE ENGINEERING - SCIE(Q1)
ENDOCRINE REVIEWS,0163-769X,25.261,1945-7189,ENDOCRINOLOGY & METABOLISM - SCIE(Q1)
REVIEWS OF GEOPHYSICS,8755-1209,24.946,1944-9208,GEOCHEMISTRY & GEOPHYSICS - SCIE(Q1)
FUNGAL DIVERSITY,1560-2745,24.902,1878-9129,MYCOLOGY - SCIE(Q1)
International Journal of Oral Science,1674-2818,24.897,2049-3169,"DENTISTRY, ORAL SURGERY & MEDICINE - SCIE(Q1)"
COORDINATION CHEMISTRY REVIEWS,0010-8545,24.833,1873-3840,"CHEMISTRY, INORGANIC & NUCLEAR - SCIE(Q1)"
InfoMat,N/A,24.798,2567-3165,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)"
Advances in Optics and Photonics,1943-8206,24.75,N/A,OPTICS - SCIE(Q1)
TRENDS IN COGNITIVE SCIENCES,1364-6613,24.482,1879-307X,"NEUROSCIENCES - SCIE(Q1); PSYCHOLOGY, EXPERIMENTAL - SSCI(Q1); BEHAVIORAL SCIENCES - SCIE(Q1)"
ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,24.466,1520-4898,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)"
APPLIED CATALYSIS B-ENVIRONMENTAL,0926-3373,24.319,1873-3883,"CHEMISTRY, PHYSICAL - SCIE(Q1); ENGINEERING, CHEMICAL - SCIE(Q1); ENGINEERING, ENVIRONMENTAL - SCIE(Q1)"
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0162-8828,24.314,1939-3539,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE(Q1); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE(Q1)"
Nature Chemistry,1755-4330,24.274,1755-4349,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)"
EUROPEAN UROLOGY,0302-2838,24.267,1873-7560,UROLOGY & NEPHROLOGY - SCIE(Q1)
Nature Human Behaviour,2397-3374,24.252,2397-3374,"MULTIDISCIPLINARY SCIENCES - SCIE(Q1); PSYCHOLOGY, EXPERIMENTAL - SSCI(Q1); NEUROSCIENCES - SCIE(Q1)"
ACS Energy Letters,2380-8195,23.991,2380-8195,"ELECTROCHEMISTRY - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); CHEMISTRY, PHYSICAL - SCIE(Q1); ENERGY & FUELS - SCIE(Q1)"
Annual Review of Condensed Matter Physics,1947-5454,23.978,1947-5462,"PHYSICS, CONDENSED MATTER - SCIE(Q1)"
ADVANCES IN PHYSICS,0001-8732,23.75,1460-6976,"PHYSICS, CONDENSED MATTER - SCIE(Q1)"
Nano-Micro Letters,2311-6706,23.655,2150-5551,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1)"
CIRCULATION RESEARCH,0009-7330,23.213,1524-4571,HEMATOLOGY - SCIE(Q1); PERIPHERAL VASCULAR DISEASE - SCIE(Q1); CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE(Q1)
National Science Review,2095-5138,23.178,2053-714X,MULTIDISCIPLINARY SCIENCES - SCIE(Q1)
Nature Cancer,N/A,23.177,2662-1347,ONCOLOGY - SCIE(Q1)
Journal of Hematology & Oncology,N/A,23.168,1756-8722,HEMATOLOGY - SCIE(Q1); ONCOLOGY - SCIE(Q1)
PSYCHOLOGICAL BULLETIN,0033-2909,23.027,1939-1455,"PSYCHOLOGY - SCIE(Q1); PSYCHOLOGY, MULTIDISCIPLINARY - SSCI(Q1)"
DRUG RESISTANCE UPDATES,1368-7646,22.841,1532-2084,PHARMACOLOGY & PHARMACY - SCIE(Q1)
Annual Review of Entomology,0066-4170,22.682,1545-4487,ENTOMOLOGY - SCIE(Q1)
Trends in Chemistry,N/A,22.448,2589-5974,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)"
Annual Review of Physiology,0066-4278,22.163,1545-1585,PHYSIOLOGY - SCIE(Q1)
Annual Review of Clinical Psychology,1548-5943,22.098,1548-5951,"PSYCHOLOGY - SCIE(Q1); PSYCHOLOGY, CLINICAL - SSCI(Q1)"
Cellular & Molecular Immunology,1672-7681,22.096,2042-0226,IMMUNOLOGY - SCIE(Q1)
TRENDS IN PLANT SCIENCE,1360-1385,22.012,1878-4372,PLANT SCIENCES - SCIE(Q1)
Molecular Plant,1674-2052,21.949,1752-9867,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1); PLANT SCIENCES - SCIE(Q1)
TRENDS IN BIOTECHNOLOGY,0167-7799,21.942,1879-3096,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q1)
Annual Review of Public Health,0163-7525,21.87,1545-2093,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1)"
Carbon Energy,N/A,21.556,2637-9368,"CHEMISTRY, PHYSICAL - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); ENERGY & FUELS - SCIE(Q1)"
Nature Geoscience,1752-0894,21.531,1752-0908,"GEOSCIENCES, MULTIDISCIPLINARY - SCIE(Q1)"
BEHAVIORAL AND BRAIN SCIENCES,0140-525X,21.357,1469-1825,"NEUROSCIENCES - SCIE(Q1); BEHAVIORAL SCIENCES - SCIE(Q1); PSYCHOLOGY, BIOLOGICAL - SSCI(Q1)"
Eurosurveillance,1025-496X,21.286,1560-7917,INFECTIOUS DISEASES - SCIE(Q1)
TRENDS IN CELL BIOLOGY,0962-8924,21.167,1879-3088,CELL BIOLOGY - SCIE(Q1)
CLINICAL INFECTIOUS DISEASES,1058-4838,20.999,1537-6591,IMMUNOLOGY - SCIE(Q1); INFECTIOUS DISEASES - SCIE(Q1); MICROBIOLOGY - SCIE(Q1)
Energy Storage Materials,2405-8297,20.831,2405-8297,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); CHEMISTRY, PHYSICAL - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1)"
JOURNAL OF MEDICAL VIROLOGY,0146-6615,20.693,1096-9071,VIROLOGY - SCIE(Q1)
TRENDS IN ECOLOGY & EVOLUTION,0169-5347,20.589,1872-8383,EVOLUTIONARY BIOLOGY - SCIE(Q1); GENETICS & HEREDITY - SCIE(Q1); ECOLOGY - SCIE(Q1)
Science Bulletin,2095-9273,20.577,2095-9281,MULTIDISCIPLINARY SCIENCES - SCIE(Q1)
Travel Medicine and Infectious Disease,1477-8939,20.441,1873-0442,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); INFECTIOUS DISEASES - SCIE(Q1)"
Nature Food,N/A,20.43,2662-1355,FOOD SCIENCE & TECHNOLOGY - SCIE(Q1)
Light-Science & Applications,2047-7538,20.257,2047-7538,OPTICS - SCIE(Q1)
Journal of Thoracic Oncology,1556-0864,20.121,1556-1380,ONCOLOGY - SCIE(Q1); RESPIRATORY SYSTEM - SCIE(Q1)
Matter,2590-2393,19.967,2590-2385,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)"
ADVANCED FUNCTIONAL MATERIALS,1616-301X,19.924,1616-3028,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); PHYSICS, CONDENSED MATTER - SCIE(Q1); NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); PHYSICS, APPLIED - SCIE(Q1); CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1); CHEMISTRY, PHYSICAL - SCIE(Q1)"
Nature Metabolism,N/A,19.865,2522-5812,ENDOCRINOLOGY & METABOLISM - SCIE(Q1)
PhotoniX,N/A,19.818,2662-1991,OPTICS - SCIE(Q1)
Annual Review of Biophysics,1936-122X,19.763,1936-1238,BIOPHYSICS - SCIE(Q1)
TRENDS IN IMMUNOLOGY,1471-4906,19.709,1471-4981,IMMUNOLOGY - SCIE(Q1)
PROGRESS IN RETINAL AND EYE RESEARCH,1350-9462,19.704,1873-1635,OPHTHALMOLOGY - SCIE(Q1)
Nature Physics,1745-2473,19.684,1745-2481,"PHYSICS, MULTIDISCIPLINARY - SCIE(Q1)"
Emerging Microbes & Infections,N/A,19.568,2222-1751,MICROBIOLOGY - SCIE(Q1); INFECTIOUS DISEASES - SCIE(Q1); IMMUNOLOGY - SCIE(Q1)
Applied Physics Reviews,1931-9401,19.527,1931-9401,"PHYSICS, APPLIED - SCIE(Q1)"
